"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1911738964794556870","Mon Apr 14 12:44:43 +0000 2025","0","@AsepWitoko The power of kabur aja dulu eh dia mah ga kabur ya","1911762543909241229","","AsepWitoko","in","Jakarta, Indonesia","0","0","0","https://x.com/nuytarigan/status/1911762543909241229","145878495","nuytarigan"
"1911748837657436183","Mon Apr 14 12:11:11 +0000 2025","0","@ssefmun Makin naksir makin kabur. Dulu ma pacar ku aja sebenernya hampir gw katoff.","1911754103375728925","","ssefmun","in","","0","0","0","https://x.com/gladiolune/status/1911754103375728925","1807106041081114624","gladiolune"
"1911635376629784586","Mon Apr 14 11:48:25 +0000 2025","0","@sourvive Kabur aja dulu adalah alternative","1911748374241358113","","aiyrn","in"," ","0","0","0","https://x.com/aiyrn/status/1911748374241358113","4462764799","aiyrn"
"1911747436210782225","Mon Apr 14 11:44:41 +0000 2025","0","Shall i go to ln juga? Kabur aja dulu bisa gak ya wkwk","1911747436210782225","","","in","","0","0","0","https://x.com/pintukusem/status/1911747436210782225","1289226542371860486","pintukusem"
"1911739835724996859","Mon Apr 14 11:14:29 +0000 2025","0","COE alhamdulillah udah keluar siap menjadi bagian dari kabur aja dulu ","1911739835724996859","","","in","Sa姐","0","0","0","https://x.com/Aflattweets/status/1911739835724996859","971515562","Aflattweets"
"1911613882331754914","Mon Apr 14 11:07:45 +0000 2025","0","@tijabar nostalgia kabur aja dulu batch 1","1911738141243064366","","tijabar","in","Germany","0","0","0","https://x.com/iiammaul/status/1911738141243064366","223375779","iiammaul"
"1911719086028898374","Mon Apr 14 10:54:21 +0000 2025","0","@bfgrent YO kamuu! duduk dulu sini yaa jangan mikir macem-macem dulu. kalau isi kepala kamu lagi berisik dan rasanya pengen kabur dari semuanya tenang aja.. aku di sinii aku dengerin. kamu boleh yapping segila apapun aku nanggepin pake mode abang² an sok wise juga bisa atau (c) https://t.co/AU3E3e19CH","1911734768515109308","https://pbs.twimg.com/tweet_video_thumb/GofYodbWcAAMXGC.jpg","bfgrent","in","","0","1","0","https://x.com/gerbacng/status/1911734768515109308","1767494588389044224","gerbacng"
"1911729384861606196","Mon Apr 14 10:49:46 +0000 2025","21","@WidasSatyo Overprice karena kebanyakan orang underpaid karena kebanyakan orang. Ya udah bener kabur aja dulu tinggal di negara yang ke kurangan orang. Iya gak @grok ?","1911733613764526173","","WidasSatyo","in","Jakarta","0","1","0","https://x.com/kerjadarirumahq/status/1911733613764526173","1390592133103456258","kerjadarirumahq"
"1911730031115788432","Mon Apr 14 10:35:32 +0000 2025","0","Ya Allah lancarkanlah rezeki kami dan bukakanlah pintu kabur aja dulu ke negeri tetangga Kalaupun cuma anak2 doang yg bisa kabur ga papa bgt ya Allah ","1911730033443418471","","meldotpi","in","","0","0","0","https://x.com/meldotpi/status/1911730033443418471","347592468","meldotpi"
"1911655591837356208","Mon Apr 14 10:34:33 +0000 2025","0","@prabowo @KingAbdullahII Kabur aja dulu","1911729785505780108","","prabowo","in","","0","0","0","https://x.com/4ndre898/status/1911729785505780108","1827194465624453123","4ndre898"
"1911725833120845910","Mon Apr 14 10:18:51 +0000 2025","1","so excited ab kabur aja dulu until its time to look for rent lol","1911725833120845910","","","en","she/her","0","0","0","https://x.com/johajahov/status/1911725833120845910","1534237297742254080","johajahov"
"1911724895698141342","Mon Apr 14 10:15:07 +0000 2025","0","#KaburAjaDulu Sering disalahartikan padahal mereka hanya menginginkan sesuatu yang lebih baik untuk keluarga dan negara. Kabur aja dulu adalah 3 kata yang sangat bermakna. Bentuk protes terhadap pemerintah yang sangat korup dan tidak mau mendengar keluhan masyarakatnya https://t.co/AwHx4Xwgqm","1911724895698141342","https://pbs.twimg.com/ext_tw_video_thumb/1911724697705721856/pu/img/F61tBfnCJLu7xm3_.jpg","","in","","0","0","0","https://x.com/BreezySolana/status/1911724895698141342","1847599643770916864","BreezySolana"
